Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,fr_p
3,1,5,0.7591,0.090191407573,0.446487645211,0.927361453707,3.2973,0.22657451313,SM-runs,0.927361453707,0.817194127806,0.4
3,2,5,0.3282,0.0348333173844,0.166359042032,0.892811514631,8.6,0.0,Baseline,0.892811514631,0.924355918858,0.4
3,2,5,0.2513,0.0403684282577,0.107086449449,0.874787947222,7.484,0.0583232372215,M-runs,0.874787947222,0.948452076111,0.4
3,2,5,0.1498,0.0338579385078,0.0913630758524,0.987332312864,8.4266,0.348021895863,SM-runs,0.987332312864,0.960367975218,0.4
3,3,5,0.2966,0.041995714067,0.177483748908,0.966549093991,12.9,0.0,Baseline,0.966549093991,0.924329246849,0.4
3,3,5,0.2537,0.0410488733098,0.14515735946,0.957823682213,11.0694,0.100648099833,M-runs,0.957823682213,0.936530464712,0.4
3,3,5,0.166,0.0249599679487,0.102024033854,0.987694409603,10.2227,0.282520459436,SM-runs,0.987694409603,0.955912755184,0.4
3,4,5,0.1903,0.0289484023739,0.11256590313,0.97704635527,17.2,0.0,Baseline,0.97704635527,0.950756598387,0.4
3,4,5,0.1898,0.0308765283023,0.107606086511,0.966930394003,14.8932,0.0998086168625,M-runs,0.966930394003,0.952351817616,0.4
3,4,5,0.1251,0.0278727465457,0.0743172476256,0.985324325008,11.7601,0.257759752483,SM-runs,0.985324325008,0.967319906748,0.4
3,5,5,0.1457,0.020124860248,0.0859003906585,0.983705038175,21.5,0.0,Baseline,0.983705038175,0.961715303296,0.4
3,5,5,0.1348,0.0290750752364,0.0773943206505,0.98062656651,18.7125,0.134596619571,M-runs,0.98062656651,0.965159696374,0.4
3,5,5,0.0878,0.0256195238051,0.0522526790422,0.991567484304,13.5273,0.18052869578,SM-runs,0.991567484304,0.976493558396,0.4
3,6,5,0.0998,0.0164121905911,0.0600494191489,0.989439247812,25.8,0.0,Baseline,0.989439247812,0.973683700045,0.4
3,6,5,0.0852,0.0195233193899,0.0500964678021,0.988850772561,22.4202,0.182543036022,M-runs,0.988850772561,0.977808077147,0.4
3,6,5,0.0727,0.0185421142268,0.0440351874091,0.992461429675,15.2189,0.166369738835,SM-runs,0.992461429675,0.980773837905,0.4
3,7,5,0.0768,0.0108240473022,0.0460042721354,0.993725283545,30.1,0.0,Baseline,0.993725283545,0.979129414178,0.4
3,7,5,0.0727,0.0160564628732,0.04339624315,0.993886592028,26.1828,0.173458813555,M-runs,0.993886592028,0.980264810567,0.4
3,7,5,0.071,0.0127279220614,0.0417975447545,0.991989805225,17.0809,0.196652205683,SM-runs,0.991989805225,0.981118171238,0.4
3,8,5,0.0633,0.0173323397151,0.0399710999992,0.996694676347,34.4,0.0,Baseline,0.996694676347,0.982699593336,0.4
3,8,5,0.0552,0.0131514257782,0.034121267483,0.995394609094,29.9744,0.191626302996,M-runs,0.995394609094,0.985196537053,0.4
3,8,5,0.0656,0.0144651304868,0.0396742213691,0.992664374264,18.7077,0.241491221373,SM-runs,0.992664374264,0.982777787605,0.4
3,9,5,0.0432,0.0117115327776,0.0264229683152,0.996806691705,38.7,0.0,Baseline,0.996806691705,0.988210798081,0.4
3,9,5,0.0402,0.00965194280961,0.0247576943851,0.997536868205,33.7437,0.230197762804,M-runs,0.997536868205,0.98891432557,0.4
3,9,5,0.0668,0.0203361746649,0.0395275944687,0.992308626388,20.4373,0.124286805414,SM-runs,0.992308626388,0.982340980993,0.4
3,10,5,0.035,0.0115065198909,0.0216612868009,0.997832763768,43.0,0.0,Baseline,0.997832763768,0.990368726988,0.4
